year,region,New dwellings,Average advance (new),Average income (new),Other dwellings,Average advance (other),Average income (other),All dwellings,Average advance (all),Average income (all)
1997.0,Northern Ireland,68750.0,47000.0,23250.0,47500.0,35250.0,19000.0,53500.0,38500.0,20500.0
1997.0,Scotland,80500.0,57000.0,27750.0,54500.0,41000.0,21500.0,57250.0,43000.0,22250.0
1997.0,South East,123500.0,84000.0,37750.0,91250.0,64500.0,29250.0,94500.0,66250.0,30000.0
1997.0,South West,88000.0,59000.0,27000.0,70750.0,50000.0,24000.0,72250.0,51000.0,24000.0
1997.0,United Kingdom,93750.0,65750.0,31000.0,73250.0,53750.0,25500.0,75750.0,54750.0,26000.0
1997.0,Wales,77000.0,57500.0,26750.0,56500.0,41750.0,21000.0,58250.0,43500.0,21500.0
1997.0,West Midlands,93250.0,62750.0,30250.0,64750.0,48250.0,23000.0,67750.0,49250.0,23500.0
1997.0,Yorkshire and the Humber,82500.0,58750.0,27250.0,57250.0,43750.0,22000.0,59750.0,44750.0,22500.0
1998.0,East Midlands,92750.0,69750.0,32750.0,61500.0,46000.0,22750.0,66000.0,49000.0,24250.0
1998.0,East of England,111750.0,79750.0,37000.0,85000.0,60000.0,28250.0,88750.0,62000.0,29250.0
1998.0,London,125500.0,92250.0,39750.0,114750.0,81000.0,35000.0,115250.0,81750.0,35500.0
1998.0,North East,76000.0,57750.0,28250.0,52750.0,39500.0,21000.0,55750.0,41750.0,21750.0
1998.0,North West,84250.0,63250.0,29250.0,63000.0,47250.0,24000.0,65750.0,48750.0,24000.0
1998.0,Northern Ireland,73500.0,50250.0,26000.0,53500.0,38000.0,19500.0,59500.0,41750.0,21500.0
1998.0,Scotland,82250.0,59750.0,31250.0,60000.0,45250.0,23000.0,63250.0,47250.0,24250.0
1998.0,South East,126500.0,87750.0,37500.0,104000.0,70000.0,31500.0,106500.0,71750.0,32250.0
1998.0,South West,99000.0,68500.0,30000.0,77500.0,53750.0,24750.0,80000.0,55500.0,25500.0
1998.0,United Kingdom,96750.0,69500.0,31750.0,79500.0,56750.0,27000.0,81750.0,58000.0,27250.0
1998.0,Wales,75500.0,55500.0,26000.0,58500.0,44000.0,22250.0,61000.0,45250.0,22500.0
1998.0,West Midlands,94000.0,68750.0,30500.0,69000.0,50750.0,24250.0,71750.0,52250.0,25000.0
1998.0,Yorkshire and the Humber,83750.0,62000.0,29500.0,58750.0,45000.0,22250.0,62250.0,47000.0,23500.0
1999.0,East Midlands,101500.0,70250.0,33750.0,67000.0,49000.0,24500.0,72000.0,52000.0,26000.0
1999.0,East of England,123000.0,84000.0,37750.0,92750.0,65250.0,30000.0,96500.0,67500.0,30750.0
1999.0,London,177000.0,123000.0,54250.0,139000.0,95750.0,40250.0,141000.0,97250.0,41000.0
1999.0,North East,85250.0,63000.0,30000.0,58000.0,44500.0,23250.0,61500.0,47000.0,24000.0
1999.0,North West,92000.0,67000.0,30750.0,69000.0,51250.0,25250.0,71500.0,53500.0,26250.0
1999.0,Northern Ireland,74750.0,53250.0,25000.0,62500.0,44500.0,22250.0,66250.0,47000.0,23250.0
1999.0,Scotland,89750.0,63750.0,31000.0,65000.0,49000.0,24750.0,68750.0,51500.0,25750.0
1999.0,South East,165250.0,105750.0,45500.0,116250.0,77500.0,34250.0,120750.0,79750.0,35000.0
1999.0,South West,110000.0,74250.0,32250.0,86000.0,59500.0,27250.0,88500.0,61250.0,27250.0
1999.0,United Kingdom,111750.0,77250.0,35000.0,89250.0,63000.0,29000.0,92000.0,64750.0,29500.0
1999.0,Wales,83000.0,61000.0,28500.0,64750.0,48000.0,24250.0,67250.0,50000.0,24750.0
1999.0,West Midlands,112000.0,76250.0,35250.0,75250.0,54500.0,26000.0,79000.0,56750.0,27000.0
1999.0,Yorkshire and the Humber,94750.0,69500.0,31500.0,63750.0,48500.0,23750.0,67000.0,50750.0,24750.0
2000.0,East Midlands,111000.0,77250.0,34500.0,74250.0,54500.0,26000.0,79000.0,57750.0,27250.0
2000.0,East of England,143000.0,92250.0,40000.0,108250.0,74500.0,32250.0,111750.0,76000.0,32750.0
2000.0,London,210500.0,139750.0,57250.0,161250.0,110000.0,43500.0,163500.0,111500.0,44250.0
2000.0,North East,91250.0,68250.0,31000.0,59750.0,45750.0,24000.0,63500.0,48250.0,25000.0
2000.0,North West,102500.0,73500.0,34000.0,74250.0,55500.0,26500.0,77500.0,58000.0,27250.0
2000.0,Northern Ireland,87250.0,61000.0,27000.0,66750.0,47000.0,23000.0,72250.0,51000.0,24250.0
2000.0,Scotland,92250.0,67250.0,33750.0,65750.0,50750.0,25750.0,69500.0,53250.0,26750.0
2000.0,South East,187500.0,116250.0,48000.0,138750.0,90750.0,37250.0,142750.0,92750.0,37750.0
2000.0,South West,128000.0,82000.0,35250.0,101250.0,67500.0,29250.0,104000.0,69000.0,29750.0
2000.0,United Kingdom,122500.0,82750.0,36500.0,98500.0,68750.0,30500.0,101250.0,70250.0,31000.0
2000.0,Wales,98250.0,66500.0,31000.0,69000.0,51750.0,25000.0,72000.0,53750.0,25750.0
2000.0,West Midlands,121000.0,81500.0,36500.0,84000.0,60250.0,27500.0,87500.0,62000.0,28250.0
2000.0,Yorkshire and the Humber,96500.0,72500.0,33000.0,68250.0,50500.0,25000.0,72000.0,53250.0,25750.0
2001.0,East Midlands,122000.0,83000.0,35250.0,82500.0,57750.0,27000.0,86750.0,60750.0,28000.0
2001.0,East of England,162750.0,107500.0,45000.0,123750.0,80750.0,35750.0,127750.0,83500.0,36500.0
2001.0,London,217000.0,153500.0,59000.0,183000.0,122000.0,48500.0,181750.0,122500.0,48750.0
2001.0,North East,104000.0,72250.0,34750.0,66250.0,50250.0,25250.0,69250.0,52000.0,26000.0
2001.0,North West,109250.0,79250.0,36250.0,79250.0,58250.0,27750.0,81750.0,60500.0,28500.0
2001.0,Northern Ireland,98000.0,67750.0,31000.0,73250.0,52000.0,24500.0,79750.0,56500.0,26250.0
2001.0,Scotland,99250.0,75750.0,35000.0,69250.0,52500.0,26750.0,73500.0,56000.0,27750.0
2001.0,South East,196250.0,126500.0,51500.0,154000.0,96750.0,40250.0,156250.0,98750.0,41250.0
2001.0,South West,143000.0,92250.0,39500.0,116750.0,72500.0,31500.0,118000.0,74250.0,31750.0
2001.0,United Kingdom,132500.0,91000.0,39250.0,109750.0,74000.0,32750.0,112250.0,76250.0,33500.0
2001.0,Wales,114500.0,82500.0,37500.0,76000.0,55000.0,27000.0,79250.0,57500.0,27750.0
2001.0,West Midlands,129750.0,89250.0,37750.0,93500.0,64000.0,29000.0,96750.0,66250.0,29500.0
2001.0,Yorkshire and the Humber,101750.0,71750.0,33000.0,72750.0,54000.0,26250.0,76000.0,55750.0,27000.0
2002.0,East Midlands,140000.0,94500.0,40500.0,99750.0,68000.0,31250.0,104250.0,70500.0,32000.0
2002.0,East of England,192000.0,120000.0,48250.0,147000.0,92500.0,38750.0,150750.0,95250.0,39750.0
2002.0,London,234250.0,161000.0,60250.0,203500.0,136750.0,52000.0,205500.0,138250.0,53000.0
