Year,London,Bedford,Birmingham,Brighton and Hove,"Bristol, City of",Leeds,Leicester,Manchester,Newcastle upon Tyne,Sheffield
2015,483750.0,249207.76962,173872.618975,344648.5123475,245235.7792575,183445.69690000000,150560.35988,159608.4176875,178073.427295,168401.80669250000
2016,468250.0,262576.81626500000,182816.4555825,370160.91989,272797.47554250000,192307.4687975,161053.40064,169426.8068725,189032.40029750000,173588.642965
2017,472500.0,287664.9333275,195149.8647425,402507.42289,294501.737115,201595.2016325,172607.404525,187146.04407,189183.358575,181564.9577175
2018,477250.0,305339.63787750000,204659.15306000000,406055.12525500000,306666.5458375,209471.79356,185874.89573,200575.7227925,191563.33242750000,192232.74375
2019,470500.0,310716.20332,214159.5012875,411758.2430975,313471.4001075,214763.1930225,195555.885415,210768.83296,195701.02436750000,196738.2923725
2020,471250.0,314398.82041,221154.601955,424613.140495,329878.869175,228999.15417,203751.4981675,224716.71848500000,202921.0962225,206020.49741
2021,450750.0,344022.8105875,248928.67576,469217.773875,364988.9883325,256822.931975,230719.13388000000,251557.1017225,225097.22888,228415.6184775
